pool_id,date,previous_day_tvl,current_day_tvl,rugpull
0x000c0d31f6b7cecde4645eef0c4ec6a492659d62,,,,False
0x000ea4a83acefdd62b1b43e9ccc281f442651520,,,,False
0x000fedac8a4c7f2c291c5bca0fd244e17e27c763,2023-05-19,25271.091389109864,7.2e-15,True
0x0025ade782cc2b2415d1e841a8d52ff5dce33dfe,,,,False
0x005e3dc62b7a269bef2a7d06e06cc0c991375c6f,2022-05-12,12441.980803140888,30.73691485056928,True
0x0068bb604413dfee5c453907bb150d0312a0f257,,,,False
0x0073ce82d9a8ffa9b695cca63cd3993c3eaef4dc,,,,False
0x00a151b39b43f6a79366f9129222b9370e30a702,,,,False
0x00bdbb8a65a0a1fc7a5488f47aadc611732705e8,,,,False
0x00c07a7e77c9ffa6e0e3c58790e0dcb81cef89e1,,,,False
0x00c6a247a868dee7e84d16eba22d1ab903108a44,,,,False
0x00d2881608d3e960d389c3421b4bfcf683a1798d,2023-11-07,16188.521999889892,46.94852464301519,True
0x00dce1deb188ee420ea8be0cf95888521fbc13a3,,,,False
0x00e3620b44e0c9b7624f7982de866175cb01d5db,2023-05-25,6662.961321664639,35.26109965279139,True
0x00ed26e794b949e18b142f9108429b74ce08ac99,,,,False
0x00ef3b7e122853ba088a1833f7bd3b5ad3dd0d32,,,,False
0x00f59b15dc1fe2e16cde0678d2164fd5ff10e424,,,,False
0x00fe38f61a15108bdb8dd25e934d2510811d430b,,,,False
0x00fe6ea9521e72683f1151c8e6a6373705cecf7b,2023-12-19,69658.12215057961,562.7561900931128,True
0x013a1bc8a8597ece80e42a7a8df706013e676566,,,,False
0x013c34b1c9a364dd9f953ec024c71019dea01011,2022-03-29,53625.8879436196,115.1745507333178,True
0x013ee68ddf40cf86a6f27d526ec3a73b1cb863b4,,,,False
0x014847133f6597dac4fec58199a31fc853169e52,2023-05-16,82798.10632454259,6.511359074510948,True
0x0157a85c76e529e95a8e7bf448d39e26e01e201a,,,,False
0x015b79c21b7d58e25bac7977711db280f0efa7e4,,,,False
0x017e9a3d276c700a94e73045124c68f58d50faee,,,,False
0x0188c28ea32d7860334be1a8068cfbadce18f1d9,,,,False
0x01949723055a451229c7ba3a817937c966748f76,,,,False
0x01a8227d4e7c3068ad1000c97a059af5c5fa3476,,,,False
0x01bbf165ae1c7ca106f8a10d0d3c25b50475e53f,,,,False
0x01bd7aa442ceaaa41f336758a84f3abd1138c4e7,,,,False
0x01e6208c8d0410acd6c3bc50c787f3509235bd06,,,,False
0x01e7c0dd17ed5fcee3d08f27f10c9f095b20d999,2023-12-23,10728.636324715764,65.42297809361246,True
0x01eee3ad3c5169b49d3e0447d72460f9c0ab98f0,,,,False
0x01fced9420b37f9b5dee28af7e692c283d987bc5,,,,False
0x0205984f283fd616cfcdf659dd66ba1d5f8c4804,,,,False
0x02178ec58822a93b29921448f209383bbecc90ea,,,,False
0x021ab4a498448d2612dfb4b93b9e4ed19729df54,,,,False
0x02249fbc47437a07a88ad7a124f2da9610856920,,,,False
0x0229ff553e51af23c6261037f1b643f3a759e678,,,,False
0x0234b959f3e26d8be28237079ed3d21a31a7e040,2023-07-15,394292.1424731409,3774.072141710202,True
0x0236d30f9d33ca8898d7f258357f572e863192dc,2022-11-04,8255.259915497718,0.4642515200426547,True
0x02469e30dd450de2e9de00d49d679f1d1d774ada,,,,False
0x025068c78dcf3d03c2277280c38cbcc7176e98da,,,,False
0x0254a309f5140d457c0699e2cd0457a692a69cc4,,,,False
0x0254aecaf8175c70f1afaf68944094c2a662c477,,,,False
0x026998fcba74c8689c5706e513e21815e4364ea8,,,,False
0x0273928ebcb46f954489dd1c40b1113f2aedd05e,2022-10-15,7900.431297848627,0.0640411442310752,True
0x0275bc3237a295ad331588d98a6a2fcad686342d,,,,False
0x028471fab51e039164d68d6edc3f695ce0790b84,,,,False
0x0289a333430e222d1666a90d00d027d13b09a81a,2022-04-01,6013.5253478862605,1.38e-14,True
0x02976320ef83e1413a9307b34c463a19ab484b5e,,,,False
0x029ebfd416fd0a8e19fe46bdc40917313ed482d7,,,,False
0x02c38d2cdb8c744f356ae7cf005e5762d90aaed7,,,,False
0x02d436dc483f445f63aac45b37db0ee661949842,,,,False
0x02d87123005416a2869f8a192e2e47aae639db7e,,,,False
0x02daa5fdd4b474c13a8d6d141471b87fbd2452cd,,,,False
0x02e9b41cfed25f5c14c3823e912ee0c8bf68be3e,,,,False
0x02edd21f1db8eb146be60998e9801691e725f119,,,,False
0x02f604a04e86f7a2a403b3240e19d9b32c56ef08,,,,False
0x0309a35f9372ad644bce196e3d53012a71f43f85,,,,False
0x0311125b58d9602352cba5c925927ecb86a5905a,,,,False
0x0318170609141bfdb38d20d1f1c5b5197670ecee,,,,False
0x03231dd535c7528ac3277461badaa71668cbe29a,,,,False
0x032839989ff8b2820181b77d17630524013dd683,,,,False
0x0345c246acbee95b6c1f547a490d498a60482361,,,,False
0x03494856e127663af7a5226855ec3841d0d0b57e,,,,False
0x035f1d7d2520d24c6e8b06758316290df06b8c82,,,,False
0x0375b0ebe9b922cb5d74ea0c052cfe47a09916b0,2022-06-15,85207.26006548783,299.19345724308835,True
0x0383b3c109b5b217d685dcd9850f51ffcad3251b,,,,False
0x03a780822f9fb4ae06794ae712f03efe2fafa538,,,,False
0x03a86d1488dd6ae052214cac0d845d6ac0153d7a,,,,False
0x03a86da24f980cfeace0898883db181c74be9c13,,,,False
0x03b043e4c7106ed7af03390b909c9d3ef20f8254,,,,False
0x03bc32cbaf0516945db77a32f2479379585aa17b,,,,False
0x03ce396082551836ebd29d7da081fcb65bd91f4f,,,,False
0x03d9190f2896aca1671ae1944dd8523dbef1847e,2021-07-28,11963.710502549517,33.75159177529487,True
0x03da747c440717420d9a8b21c61805dd9d99071e,,,,False
0x03e1b065e1445cda54731f232fef3c18f472fd97,2021-08-13,54761.55087057212,26.12615665099192,True
0x03e38c36a1e3122025f70ce08d9ed00ac0e37754,,,,False
0x03e67a3a7775f80e49cc8fe004592c5bc8e2d273,,,,False
0x03ee825ea54021617d1866b0148920b2ac0da121,,,,False
0x0406e2b3bd7908eca97cc8e4f8b3e14814654e42,2021-09-11,6572.837697485421,6.6e-15,True
0x0413fc58c9c5511c01c834c29562becfc0c41ede,,,,False
0x04209b7acfeeca8c00f536d6a1dbfc22726ff6c6,,,,False
